Num,ID,Location,SearchType,PropertyType,TITLE,AGENT_ID,AGENT_BRANCH,AGENT_NAME,AGENT_SELLER_TYPE,BATHROOMS,BEDROOMS,BER,CATEGORY,MONTHLY_PRICE,PRICE,LATITUDE,LONGITUDE,PUBLISH_DATE
1163,216462,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Kilfinny, Adare, Co. Limerick",2763,John Giltinane & Associates,John Giltinane MIPAV TRV MMCEPI,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,65000,"€65,000",52.502613556570545,-8.800040567968495,2023-09-05 14:14:02
1164,5336941,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.RETAIL_UNIT,"Unit 5, Main Street, Patrickswell, Co. Limerick",1374,DNG Cusack Dunne,Mark Cusack,BRANDED_AGENT,N.A.,N.A.,G,Commercial,140000,"€140,000",52.59669217013604,-8.711016187551621,2023-09-12 08:45:26.824000
1165,5282959,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.RETAIL_UNIT,"Stacpoole Retail and Coffee House, Main Street, Adare, Co. Limerick",9068,Murphy Gubbins Auctioneers and Chartered Surveyors,JC Gubbins BA MSCSI MRICS,BRANDED_AGENT,N.A.,N.A.,B3,Commercial,1300000,"€1,300,000",52.563943993896885,-8.790781764746953,2023-09-11 08:40:45.774000
1166,4744100,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Rathnaseer, Rathkeale, Co. Limerick",2762,Sherry FitzGerald Stack,Maurice Stack,BRANDED_AGENT,N.A.,N.A.,N.A.,Commercial,Price on Application,Price on Application,52.500263,-8.905638,2023-09-12 12:10:42.371000
1167,5398182,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Lands at Coolballyshane, Croagh, Co. Limerick",5709,Wilsons Auctions,Wilsons Auctions,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,1950000,"AMV: €1,950,000",52.54033168425789,-8.8454411697858,2023-09-12 12:01:44.670000
1168,5396592,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Fanningstown, Patrickswell, Co. Limerick",2398,GL Auctioneers,Geraldine Leddin,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,Price on Application,Price on Application,52.54542218168942,-8.724473415735872,2023-09-12 08:38:08.652000
1169,3738200,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Killonahan, Patrickswell, Co. Limerick",2758,GVM Auctioneers - Limerick,Tom Crosse,BRANDED_AGENT,N.A.,N.A.,N.A.,Commercial,275000,"€275,000",52.554016,-8.7264391,2023-09-11 17:17:28.674000
1170,3772206,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Rowerbeg. Adare, Adare, Co. Limerick",2758,GVM Auctioneers - Limerick,Tom Crosse,BRANDED_AGENT,N.A.,N.A.,N.A.,Commercial,Price on Application,Price on Application,52.5548754,-8.8218143,2023-09-11 17:17:28.674000
1171,5357005,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Ballinaguile, Croagh, Co. Limerick",2758,GVM Auctioneers - Limerick,Tom Crosse,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,Price on Application,Price on Application,52.5157499,-8.8391883,2023-08-23 14:04:09.896000
1172,3288921,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.AGRICULTURAL_LAND,"Faha Demesne, Patrickswell, Co. Limerick",3329,De Courcy Estate Agents,John de Courcy,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,65000,"€65,000",52.5998934005445,-8.7129047357798,2023-08-29 08:31:57.970000
1173,4274973,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.DEVELOPMENT_LAND,"Serviced Sites, Manor Brook, Adare, Co. Limerick",1611,O'Connor Murphy Auctioneers,O`Connor Murphy,BRANDED_AGENT,N.A.,N.A.,N.A.,Commercial,Price on Application,Price on Application,52.5565848,-8.7938954,2023-09-12 10:05:51.753000
1174,5402104,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.DEVELOPMENT_LAND,"Ballyengland Upper, Askeaton, Co. Limerick",1855,Hanly Donnellan,Bill Hanly,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,80000,"€80,000",52.58943095,-8.91865732,2023-09-04 19:20:30.947000
1175,2527682,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.DEVELOPMENT_LAND,"Patrickswell Village, Patrickswell, Co. Limerick",2760,Rooney Auctioneers -Limerick,Gordon Kearney MRICS MSCSI,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,300000,"€300,000",52.5998934005445,-8.7129047357798,2023-08-23 14:01:33.640000
1176,5284630,Location.ADARE_LIMERICK,SearchType.COMMERCIAL_RENT,PropertyType.INVESTMENT_PROPERTY,"Stacpoole Retail and Coffee House, Main Street, Adare, Co. Limerick",9068,Murphy Gubbins Auctioneers and Chartered Surveyors,JC Gubbins BA MSCSI MRICS,BRANDED_AGENT,N.A.,N.A.,B3,Commercial,1300000,"€1,300,000",52.56405688540141,-8.790718285582528,2023-09-11 08:40:46.025000
1177,5406110,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Sea View, Adrigole, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,1 Bath,3 Bed,G,Buy,195000,"€195,000",51.69184,-9.730281,2023-09-12 12:03:58
1178,5346169,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Bocarnagh, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,E2,Buy,395000,"€395,000",51.721302,-9.557032,2023-09-12 12:03:56
1179,3910479,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.HOUSE,"Adrigole Park, Adrigole, Co. Cork",1577,Savills Cork,Catherine McAuliffe,BRANDED_AGENT,7 Bath,8 Bed,E2,Buy,2250000,"€2,250,000",51.692173,-9.72273,2023-09-12 09:07:07
1180,5406110,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Sea View, Adrigole, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,1 Bath,3 Bed,G,Buy,195000,"€195,000",51.69184,-9.730281,2023-09-12 12:03:58
1181,5346169,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Bocarnagh, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,E2,Buy,395000,"€395,000",51.721302,-9.557032,2023-09-12 12:03:56
1182,3910479,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.DETACHED_HOUSE,"Adrigole Park, Adrigole, Co. Cork",1577,Savills Cork,Catherine McAuliffe,BRANDED_AGENT,7 Bath,8 Bed,E2,Buy,2250000,"€2,250,000",51.692173,-9.72273,2023-09-12 09:07:07
1183,5349894,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.BUNGALOW,"Furkeal, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,F,Buy,345000,"€345,000",51.732901,-9.555709,2023-09-12 12:03:57
1184,5328860,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.SITE,"Trafrask, Adrigole, Co. Cork",5086,Lee Property Auctioneers,Lee Property Auctioneers,UNBRANDED_AGENT,N.A.,N.A.,N.A.,Buy,60000,"€60,000",51.68026187313097,-9.679074817760977,2023-09-06 13:51:42
1185,5327057,Location.ADRIGOLE_CORK,SearchType.RESIDENTIAL_SALE,PropertyType.SITE,"Trafrask, Adrigole, Co. Cork",5086,Lee Property Auctioneers,Lee Property Auctioneers,UNBRANDED_AGENT,N.A.,N.A.,N.A.,Buy,Price on Application,Price on Application,51.68139212475947,-9.699194017781423,2023-09-06 13:51:42
1186,4497389,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Adrigole, Co. Cork",7217,Five Star International,Five Star International,BRANDED_AGENT,5 Bath,5 Bed,N.A.,Holiday Homes,2910,€679 per week,51.7050689,-9.6353237,2023-09-11 13:09:08.865000
1187,49943,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Ref. 28016 Sugarloaf Cottage, Glengarriff, Co. Cork",8370,Hogans Irish Cottages,Hogans Irish Cottages,BRANDED_AGENT,2 Bath,5 Bed,N.A.,Holiday Homes,197,€46 per week,51.7258333,-9.6311111,2023-09-09 23:21:03.931000
1188,48804,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Ref. 4630 Ocean View, Kealigolane, Adrigole, Beara, Co. Cork",8370,Hogans Irish Cottages,Hogans Irish Cottages,BRANDED_AGENT,5 Bath,5 Bed,N.A.,Holiday Homes,197,€46 per week,51.694197,-9.7228146,2023-09-09 23:20:50.915000
1189,5406110,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Sea View, Adrigole, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,1 Bath,3 Bed,G,Buy,195000,"€195,000",51.69184,-9.730281,2023-09-12 12:03:58
1190,5346169,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Bocarnagh, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,E2,Buy,395000,"€395,000",51.721302,-9.557032,2023-09-12 12:03:56
1191,3910479,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Adrigole Park, Adrigole, Co. Cork",1577,Savills Cork,Catherine McAuliffe,BRANDED_AGENT,7 Bath,8 Bed,E2,Buy,2250000,"€2,250,000",51.692173,-9.72273,2023-09-12 09:07:07
1192,5406110,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Sea View, Adrigole, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,1 Bath,3 Bed,G,Buy,195000,"€195,000",51.69184,-9.730281,2023-09-12 12:03:58
1193,5346169,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Bocarnagh, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,E2,Buy,395000,"€395,000",51.721302,-9.557032,2023-09-12 12:03:56
1194,3910479,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Adrigole Park, Adrigole, Co. Cork",1577,Savills Cork,Catherine McAuliffe,BRANDED_AGENT,7 Bath,8 Bed,E2,Buy,2250000,"€2,250,000",51.692173,-9.72273,2023-09-12 09:07:07
1195,5349894,Location.ADRIGOLE_CORK,SearchType.COMMERCIAL_RENT,PropertyType.BUNGALOW,"Furkeal, Glengarriff, Co. Cork",3481,Sherry FitzGerald O'Neill West Cork,Olivia Hanafin,BRANDED_AGENT,2 Bath,3 Bed,F,Buy,345000,"€345,000",51.732901,-9.555709,2023-09-12 12:03:57
